rawi_index,name,grade,places,birth,death,date_birth,date_death
34,إبراهيم بن بشار,حافظ له أوهام,[],162.25,227.25,بعد موت سفيان بن سعيد الثورى,230هـ ، أو قبلها أو بعدها بقليل ، وقيل : 224 هـ ، وقيل : 227 هـ ، وقيل : 228 هـ
35,إبراهيم بن جرير بن عبد الله,صدوق,[],60.5,125.5,,121 هـ : 130 هـ
36,إبراهيم بن الحارث بن إسماعيل,صدوق,"['نيسابور', 'بغداد', 'الموصل']",200.0,265.0,,265 هـ
37,إبراهيم بن حبيب بن الشهيد,ثقة,[],138.0,203.0,,203 هـ
38,إبراهيم بن الحجاج بن زيد,ثقة يهم قليلا,['البصرة'],167.0,232.0,,231 هـ ، أو 232 هـ ، أو 233 هـ
39,إبراهيم بن الحسن بن الهيثم,ثقة,['المصيصة'],164.0,229.0,,229 هـ
40,إبراهيم بن حمزة بن سليمان بن أبي يحيى,صدوق,['الرملة'],170.5,235.5,,
41,إبراهيم بن حمزة بن محمد بن حمزة بن مصعب بن عبد الله بن الزبير بن العوام,صدوق,"['الربذة', 'المدينة']",165.0,230.0,,230 هـ
42,إبراهيم بن حميد بن عبد الرحمن بن مخلد بن عفيف بن رواس بن كلاب,ثقة,[],118.5,183.5,,178 هـ ، وقيل : 189 هـ
44,إبراهيم بن خالد بن أبي اليمان,ثقة,['بغداد'],175.0,240.0,,240 هـ
45,إبراهيم بن خالد بن عبيد,ثقة,['صنعاء'],135.0,200.0,,200 هـ
46,إبراهيم بن دينار,ثقة,[],167.0,232.0,,232 هـ
47,إبراهيم بن زياد,ثقة,['بغداد'],161.66666666666666,226.66666666666666,,228 هـ ، أو 232 هـ ، وقيل : 220 هـ
48,إبراهيم بن سالم بن أبي أمية,صدوق,[],88.5,153.5,,153 هـ ، أو 154 هـ
49,إبراهيم بن سعد بن أبي وقاص,ثقة,[],35.0,100.0,,بعد 100 هـ
50,إبراهيم بن سعد بن إبراهيم بن عبد الرحمن بن عوف,ثقة حجة ، تُكُلِّم فيه بلا قادح,"['بغداد', 'الكوفة', 'البصرة']",109.0,183.5,108 هـ ، أو 110 هـ,182 هـ ، أو 183 هـ ، أو 184 هـ ، أو 185 هـ
51,إبراهيم بن سعيد,ثقة حافظ ، تُكُلِّم فيه بلا حجة,"['بغداد', 'عين زربة']",185.57142857142858,250.57142857142858,,247 هـ ، أو 249 هـ ، أو في حدود 250 هـ ، أو 253 هـ ، أو 255 هـ ، أو 256 هـ ، ويقال : 244 هـ
52,إبراهيم بن سعيد,مجهول الحال,[],96.0,161.0,,
53,إبراهيم بن سليمان,ثقة ثبت إلا أنه يرسل,[],80.5,145.5,,141 هـ : 150 هـ
54,إبراهيم بن سليمان بن رزين ، وقيل : إبراهيم بن إسماعيل بن رزين,صدوق يغرب,['بغداد'],138.5,203.5,,
55,إبراهيم بن سويد,ثقة ، لم يثبت أن النسائي ضعفه,[],30.5,95.5,,91 هـ : 100 هـ
56,إبراهيم بن سويد بن حيان,ثقة يغرب,[],110.5,175.5,,171 هـ : 180 هـ
57,إبراهيم بن صالح بن درهم,فيه ضعف,[],138.5,203.5,,
58,إبراهيم بن صدقة,صدوق,[],130.5,195.5,,191 هـ : 200 هـ
59,إبراهيم بن طهمان بن شعبة,ثقة يغرب ، تكلم فيه للإرجاء ، ويقال : رجع عنه,"['نيسابور', 'هراة  خراسان', 'مكة', 'هراة', 'قيل : بحدود نيسابور من رستاق جراف', 'بغداد']",97.25,162.25,,158 هـ ، أو 160 هـ ، أو 163 هـ ، أو 168 هـ
60,إبراهيم بن عامر بن مسعود بن أمية بن خلف بن وهب بن حذافة بن جمح,ثقة,[],60.0,125.0,,120هـ : 130هـ
61,إبراهيم بن عبد الأعلى,ثقة,[],60.5,125.5,,121 هـ : 130 هـ
62,إبراهيم بن عبد الرحمن بن يزيد بن أمية,مجهول,[],96.0,161.0,,
63,إبراهيم بن عبد الرحمن بن إسماعيل,صدوق، ضعيف الحفظ,[],50.5,115.5,,111 هـ : 120 هـ
64,إبراهيم بن عبد الرحمن بن مهدي بن حسان بن عبد الرحمن,صدوق، له مناكير ، قيل : إنها من قبل الراوي عنه,[],160.5,225.5,,221 هـ : 230 هـ
65,إبراهيم بن عبد الرحمن بن عوف,قيل : له رؤية,['المدينة'],21.0,98.25,"يقال : إنه ولد في حياة النبي صلى الله عليه وسلم ، وفي كتاب "" الكلاباذي "" : 21 هـ",95 هـ ، أو 96 هـ ، أو 97 هـ ، أو 105 هـ
66,إبراهيم بن عبد الرحمن بن عبد الله بن أبي ربيعة ذي الرمحين : عمرو بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤي بن غالب,مقبول,[],30.5,95.5,,91 هـ : 100 هـ
67,إبراهيم بن عبد السلام بن عبد الله بن باباه,ضعيف,[],117.0,182.0,,182 هـ
69,إبراهيم بن عبد العزيز بن عبد الملك بن أبي محذورة,صدوق يخطئ,[],130.5,195.5,,191 هـ : 200 هـ
70,إبراهيم بن عبد الله بن قارظ ، ويقال : عبد الله بن إبراهيم بن قارظ,صدوق,['مصر'],30.5,95.5,,91 هـ : 100 هـ
72,إبراهيم بن عبد الله بن حنين,ثقة,[],35.0,100.0,,100هـ وبضع
73,إبراهيم بن عبد الله بن حاتم,صدوق حافظ ، تكلم فيه بسبب القرآن,"['بغداد', 'سر من رأى']",163.0,244.0,178 هـ ، أو 148 هـ,244 هـ
74,إبراهيم بن عبد الله بن معبد بن عباس بن عبد المطلب بن هاشم,صدوق,[],40.0,105.0,,101 هـ : 109هـ
75,إبراهيم بن عبد الله بن المنذر,مستور,[],180.5,245.5,,241 هـ : 250 هـ
76,إبراهيم بن عبد الله بن الحارث بن حاطب بن الحارث بن معمر بن حبيب بن وهب بن حذافة بن جمح,صدوق ، روى مراسيل,[],100.5,165.5,,161 هـ : 170 هـ
78,إبراهيم بن عبد الله بن محمد بن إبراهيم بن عثمان بن خواستي,صدوق,[],200.0,265.0,,265 هـ
79,إبراهيم بن عبد الملك,صدوق في حفظه شيء,[],110.5,175.5,,171 هـ : 180 هـ
80,إبراهيم بن عبيد بن رفاعة بن رافع بن مالك بن العجلان,صدوق,[],50.5,115.5,قيل : إنه ولد في عهد النبي صلى الله عليه وسلم,111 هـ : 120 هـ
81,إبراهيم بن عثمان بن خواستي,متروك الحديث,['واسط'],104.0,169.0,,169 هـ
82,إبراهيم بن عطاء بن أبي ميمونة,صدوق,[],100.5,165.5,,161 هـ : 170 هـ
83,إبراهيم بن عقبة بن أبي عياش,ثقة,[],80.5,145.5,,141 هـ : 150 هـ
84,إبراهيم بن عقيل بن معقل بن منبه بن كامل بن سيج,صدوق,[],117.0,182.0,,
85,إبراهيم بن العلاء,ثقة,[],80.5,145.5,,141 هـ : 150 هـ
86,إبراهيم بن العلاء بن الضحاك بن المهاجر بن عبد الرحمن بن زيد,مستقيم الحديث إلا في حديث واحد ، يقال : إن ابنه محمدا أدخله عليه,[],152.0,235.0,152 هـ,235 هـ
87,إبراهيم بن علي بن حسن بن علي بن أبي رافع,ضعيف,['بغداد'],140.5,205.5,,201 هـ : 210 هـ
88,إبراهيم بن عمر,مستور,[],170.5,235.5,,
89,إبراهيم بن عمر بن سفينة,مستور,[],96.0,161.0,,
90,إبراهيم بن عمر بن كيسان,صدوق,[],96.0,161.0,,
91,إبراهيم بن أبي الوزير : عمر بن مطرف,صدوق,"['البصرة', 'الطائف', 'مكة']",154.33333333333334,219.33333333333334,,212 هـ ، أو 213 هـ ، أو بعدها ، أو 233 هـ
92,إبراهيم بن عيينة بن أبي عمران,صدوق يهم,[],120.0,198.0,نحو 120 هـ,197 هـ ، أو 199 هـ
93,إبراهيم بن الفضل بن سلمان,متروك,[],100.5,165.5,,161هـ : 170هـ
94,إبراهيم بن محمد,صدوق يخطئ,['البصرة'],190.5,255.5,,251 هـ : 260 هـ
95,إبراهيم بن محمد بن أبي يحيى: سمعان ، وقد ينسب إلى جده ، ومنهم من قال فيه : إبراهيم بن محمد بن أبي عطاء,متروك,[],124.66666666666666,189.66666666666666,,184هـ ، أو 191هـ ، وقيل : 194 هـ
96,إبراهيم بن محمد بن الحارث بن أسماء بن خارجة بن حصن بن حذيفة بن بدر بن عمرو بن جؤية بن لوذان بن ثعلبة بن عدي بن فزارة بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس عيلان بن مضر بن نزار بن معد بن عدنان,ثقة حافظ ، له تصانيف,"['الشام', 'المصيصة', 'واسط']",120.5,185.5,,183 هـ ، أو 184 هـ ، أو 185 هـ ، أو 186 هـ ، أو 187 هـ ، أو 188 هـ
97,إبراهيم بن محمد بن حاطب,صدوق,[],70.0,135.0,,
98,إبراهيم بن أبي معاوية : محمد بن خازم,صدوق,['الكوفة'],171.5,236.5,,236 هـ ، أو 237 هـ
99,إبراهيم بن محمد بن سعد بن أبي وقاص,ثقة,[],74.0,139.0,,
100,إبراهيم بن محمد بن طلحة بن عبيد الله,ثقة,"['الكوفة', 'المدينة', 'قيل : بمنى']",36.0,115.33333333333333,36 هـ,110هـ ، أو 116هـ ، أو  120هـ
101,إبراهيم بن محمد بن عرعرة بن البرند بن النعمان بن علجة بن الأقفع بن كزمان بن الحارث بن حارثة بن مالك بن سعد بن عبيدة بن الحارث بن سامة بن لؤي بن غالب,ثقة حافظ,['بغداد'],160.0,231.5,بعد 160 هـ أو قبلها,231 هـ ، أو 232 هـ
102,إبراهيم بن محمد بن عبد الله بن جحش بن رئاب,صدوق,[],70.0,135.0,,
103,إبراهيم بن محمد بن عبد الله بن عبيد الله بن عبيد الله بن معمر,ثقة,['البصرة'],185.0,250.0,,250 هـ
104,إبراهيم بن محمد بن علي بن أبي طالب,صدوق,[],70.0,135.0,,
105,"إبراهيم بن محمد بن العباس بن عثمان بن شافع بن السائب بن عبيد بن عبد يزيد بن هاشم بن المطلب
 ، وقال ابن خلفون : إبراهيم بن عبد الله بن محمد بن العباس",صدوق,['مكة'],172.5,237.5,,237 هـ ، ويقال: 238 هـ
106,إبراهيم بن محمد بن المنتشر بن الأجدع,ثقة,[],80.5,145.5,,141 هـ : 150 هـ
107,إبراهيم بن محمد بن يوسف بن سرج,صدوق ،  تكلم فيه,['بيت المقدس'],180.5,245.5,,241 هـ : 250 هـ
108,إبراهيم بن المختار,صدوق ، ضعيف الحفظ,[],116.0,181.0,,180 هـ ، أو 182 هـ
109,إبراهيم بن مخلد,صدوق,[],170.5,235.5,,231 هـ : 240 هـ
110,إبراهيم بن مرة,صدوق,[],70.5,135.5,,131 هـ : 140 هـ
112,إبراهيم بن مروان بن محمد بن حسان,صدوق,[],190.5,255.5,,251 هـ : 260 هـ
113,إبراهيم بن المستمر,صدوق يغرب,[],180.5,245.5,,241 هـ : 250 هـ
114,إبراهيم بن مسلم,لين الحديث ، رفع موقوفات,[],80.5,145.5,,141 هـ : 150 هـ
115,إبراهيم بن المنذر بن عبد الله بن المنذر بن المغيرة بن عبد الله بن خالد بن حزام بن خويلد بن أسد بن عبد العزى بن قصي بن كلاب,صدوق,"['الكوفة', 'المدينة']",170.5,235.5,,235 هـ ، أو  236 هـ
116,إبراهيم بن مهاجر بن جابر,صدوق، لين الحفظ,[],60.5,125.5,,121 هـ : 130 هـ
117,إبراهيم بن مهدي,مقبول,['المصيصة'],159.5,224.5,,224 هـ ، أو 225 هـ
118,إبراهيم بن موسى بن يزيد بن زاذان,ثقة حافظ,"['بغداد', 'الكوفة', 'البصرة', 'العراق', 'اليمن', 'الشام']",154.5,219.5,,219 هـ ، أو 220 هـ وبضع
119,إبراهيم بن ميسرة,ثبت حافظ,['مكة'],67.0,132.0,,132هـ ، أو قريبا منها
120,إبراهيم بن ميمون,ثقة,[],117.0,182.0,,
121,إبراهيم بن ميمون,صدوق,['خراسان'],66.0,131.0,,131 هـ
122,إبراهيم بن نافع,ثقة حافظ,[],100.5,165.5,,161 هـ : 170 هـ
123,إبراهيم بن نشيط بن يوسف,ثقة,[],97.0,162.0,,161 هـ ، أو 162 هـ ، وقيل : 163 هـ
124,إبراهيم بن هارون,صدوق,[],180.5,245.5,,241 هـ : 250 هـ
125,إبراهيم بن يحيى بن محمد بن عباد بن هاني,لين الحديث,['الشجرة بذي الحليفة'],160.5,225.5,,221 هـ : 230 هـ
126,إبراهيم بن يزيد,متروك الحديث,['مكة'],85.5,150.5,,"150هـ ، 
أو 151 هـ"
127,إبراهيم بن يزيد بن شريك,ثقة إلا أنه يرسل ويدلس,['واسط'],28.5,93.5,,92 هـ ، أو 93 هـ ، أو 94 هـ ، أو 95 هـ
128,إبراهيم بن يزيد بن قيس بن الأسود بن عمرو بن ربيعة بن ذهل بن ربيعة بن ذهل بن سعد بن مالك بن النخع,ثقة إلا أنه يرسل كثيرا,"['بغداد', 'الكوفة', 'البصرة', 'العراق']",44.0,95.0,38 هـ ، أو 50 هـ,94 هـ ، أو 95 هـ ، أو 96 هـ
129,إبراهيم بن يزيد بن مردانبه,صدوق,['مكة'],130.5,195.5,,191 هـ : 200 هـ
130,إبراهيم بن يعقوب بن إسحاق,ثقة حافظ ، رمي بالنصب,"['دمشق', 'مكة', 'البصرة', 'الرملة', 'مصر']",188.0,253.0,,بعد 244 هـ ، أو 256 هـ ، أو 259 هـ
131,إبراهيم بن يوسف بن إسحاق بن أبي إسحاق,صدوق يهم,[],133.0,198.0,,198 هـ
133,إبراهيم بن يونس بن محمد,صدوق,['طرسوس'],190.5,255.5,,
134,ابن أبي المعلى,ولا يعرف,[],39.23809523809524,104.23809523809524,,
135,ابن أبي خزامة ، و قيل : أبو خزامة ، و هو الصحيح,مجهول,[],39.23809523809524,104.23809523809524,,
137,ابن أبي كبشة,مقبول,[],39.23809523809524,104.23809523809524,,
138,ابن أخي الحارث الأعور,مجهول,[],74.0,139.0,,
139,ابن أخي زينب الثقفية ، ويقال : ابن أخت زينب,كأنه صحابي ، ولم أره مسمى,[],-65.0,0.0,,
141,ابن أخي عبد الله بن سلام,مجهول,[],39.23809523809524,104.23809523809524,,
143,ابن العلاء بن الحضرمي ، يقال : اسمه عبد الله,مقبول,[],39.23809523809524,104.23809523809524,,
144,ابن الفراسي,,[],-65.0,0.0,,
145,ابن أم الحكم أو ضباعة ابنتي الزبير,لا يعرف,[],39.23809523809524,104.23809523809524,,
146,ابن حجير,مستور,[],20.25,85.25,,
147,ابن حدير,مستور,[],55.0,120.0,,
148,ابن حرشف,مجهول,[],74.0,139.0,,
149,ابن حيان ، ويقال : اسمه حيان بن غالب,لا يعرف,[],74.0,139.0,,
150,ابن عابس,,[],-65.0,0.0,,
151,ابن عبد الله بن بسر,لا يعرف,[],70.0,135.0,,
152,ابن عمر بن أبي سلمة ، قيل : اسمه محمد,مقبول,[],74.0,139.0,,
153,ابن وهب بن منبه,مجهول,[],74.0,139.0,,
154,ابنة الحارث بن عامر بن نوفل,صحابية,[],-9.5,55.5,,
155,ابنة زيد بن ثابت,فقيهة,[],-65.0,0.0,,
156,ابنة محيصة بن مسعود,لا تعرف,[],39.23809523809524,104.23809523809524,,
157,أبو إبراهيم,مقبول,[],39.23809523809524,104.23809523809524,,
158,أبو أحمد بن علي,مجهول,[],96.0,161.0,,
159,أبو إدريس,مقبول,[],70.0,135.0,,
160,أبو إدريس,مقبول,[],74.0,139.0,,
161,أبو أرطاة,مقبول,[],55.0,120.0,,
162,أبو إسحاق,مقبول,[],117.0,182.0,,
163,أبو أسماء,مجهول,[],70.0,135.0,,
164,أبو أفلح,مقبول,[],70.0,135.0,,
165,أبو الأبيض ، يقال اسمه عيسى ووهمه ابن حجر,ثقة,['الطوانة'],23.0,88.0,,88 هـ
166,أبو الأحوص,مقبول,[],39.23809523809524,104.23809523809524,,
167,أبو الأزهر,مقبول,[],20.25,85.25,,
169,يزيد بن عطارد,مقبول,[],55.0,120.0,,120 وبضع ، وقال ابن حبان : في الفتنة التي وقعت بين علي بن أبي طالب ومعاوية بن أبي سفيان رضي الله عنهما
170,أبو الجارية,مجهول,[],170.5,235.5,,
171,أبو الجراح,مجهول,[],96.0,161.0,,
172,أبو الحسن,مجهول,[],74.0,139.0,,
173,أبو الحسن,مجهول,[],74.0,139.0,,
174,أبو الحسن,مقبول,[],55.0,120.0,,
175,أبو الحسن,مجهول,[],96.0,161.0,,
176,أبو الحسن,مقبول,[],39.23809523809524,104.23809523809524,,
177,أبو الحكم,مقبول,[],39.23809523809524,104.23809523809524,,
179,أبو الخطاب,مجهول,[],39.23809523809524,104.23809523809524,,
180,أبو الخطاب,مجهول,[],74.0,139.0,,
181,أبو الربيع,مقبول,[],39.23809523809524,104.23809523809524,,
182,رداد ، ويقال : أبو الرداد ، وهو الأشهر,مقبول,['المدينة'],20.25,85.25,,
183,أبو السنابل بن بعكك بن الحارث بن عميلة بن السباق بن عبد الدار بن قصي ، قيل : اسمه عمرو ، وقيل : لبيد ربه ، وقيل : حبة ، وقيل : حنة ، وقيل : أصرم,صحابي مشهور,"['الكوفة', 'مكة']",-13.166666666666671,51.83333333333333,,
185,أبو الشمال بن ضباب,مجهول,[],39.23809523809524,104.23809523809524,,
186,أبو الشموس,صحابي,[],-5.583333333333329,59.41666666666667,,
187,أبو الصلت ، عن أبي هريرة,مجهول,[],39.23809523809524,104.23809523809524,,
188,أبو الصلت : قيل إنه : شهاب بن خراش,,[],74.0,139.0,,
189,أبو الصهباء,مقبول,[],74.0,139.0,,
190,"أبو العجلان , وقيل : أبو المخارق",مقبول,[],55.0,120.0,,
191,تبيع بن سليمان,مجهول,[],74.0,139.0,,
192,أبو الغوث بن الحصين,صحابي,"['العرج', 'الفرع مكان بنواحي المدينة']",-65.0,0.0,,
193,"أبو الفضل ، وقيل : أبو الفضيل , أو ابن الفضل",مجهول,[],55.0,120.0,,
194,أبو الفضل بن خلف ، وقيل : أبو الفضيل ، وقيل : أبو المفضل ، وقيل : ابن المفضل,مجهول,[],74.0,139.0,,
195,أبو القاسم بن أبي الزناد,ليس به بأس,[],130.5,195.5,,191 هـ : 200 هـ
196,أبو المبارك,مجهول,[],74.0,139.0,,
197,أبو المثنى,مقبول,[],39.23809523809524,104.23809523809524,,
198,مغراء,مقبول,[],55.0,120.0,,
199,أبو المعتمر بن عمرو بن رافع,مجهول الحال,[],74.0,139.0,,
200,أبو المعلى بن لوذان ، قيل : اسمه زيد بن المعلى ، وقيل : لا يوقف له على اسم  عند الأكثرين,صحابي,['الكوفة'],-5.583333333333329,59.41666666666667,,
201,أبو المغيرة,مجهول,[],55.0,120.0,,
202,أبو المنذر,مقبول,[],39.23809523809524,104.23809523809524,,
203,أبو المنيب,ثقة,[],40.5,105.5,,101 هـ : 110 هـ
204,أبو النعمان,مجهول,[],74.0,139.0,,
205,أبو الهيثم بن نصر بن دهر,مقبول,[],39.23809523809524,104.23809523809524,,
206,أبو الورد بن ثمامة بن حزن,مقبول,[],74.0,139.0,,
207,أبو الوليد,مجهول,[],55.0,120.0,,
208,"أبو أمامة  , ويقال :  أبو أمية",مقبول,[],55.0,120.0,,
210,أبو أمية,صحابي,['المدينة'],-5.583333333333329,59.41666666666667,,
211,أبو أيوب,مجهول,[],96.0,161.0,,
212,أبو بسرة,مقبول,[],55.0,120.0,,
213,أبو بشر,مقبول,['دمشق'],65.0,130.0,,130 هـ
214,أبو بشر,مجهول,[],74.0,139.0,,
215,أبو بكر,قال ابن عدى : مجهول,[],96.0,161.0,,
216,أبو بكر,ضعيف,[],96.0,161.0,,
218,أبو بكر بن أبي زهير : معاذ بن أبى رباح,مقبول,[],39.23809523809524,104.23809523809524,,
219,أبو بكر بن أبي موسى ، يقال : اسمه عمرو ، أو عامر,ثقة,['الكوفة'],41.0,106.0,,106 هـ
220,أبو بكر بن إسحاق بن يسار,مقبول,[],74.0,139.0,,
221,أبو بكر بن أنس بن مالك,ثقة,[],40.5,105.5,,101 هـ : 110 هـ
222,أبو بكر بن سالم بن عبد الله بن عمر بن الخطاب,ثقة,[],70.0,135.0,,
223,أبو بكر بن سليمان بن أبي حثمة : عبد الله بن حذيفة ، وقيل : عدي بن كعب بن حذيفة بن تمام بن غانم بن عبد الله بن عويج بن عدي بن كعب ابن لؤي بن غالب,ثقة ، عارف بالنسب,[],30.5,95.5,,91 هـ : 100 هـ
224,أبو بكر بن عبد الرحمن بن الحارث بن هشام بن المغيرة بن عبد الله بن عمر بن مخزوم ، قيل اسمه : محمد ، وقيل : أبو بكر,ثقة فقيه عابد,[],29.0,94.0,في خلافة عمر,93هـ ، أو 94 هـ ، أو 95 هـ
225,أبو بكر بن عبد الله بن الزبير بن العوام,مستور,[],39.23809523809524,104.23809523809524,,
226,"أبو بكر بن عبد الله بن أبي الجهم : صخير  ، ويقال : عبيد بن حذيفة بن غانم بن عبد الله بن عبيد بن عويج  بن عدي بن كعب بن لؤي بن غالب , وقد ينسب إلى جده",ثقة فقيه,[],50.5,115.5,,111 هـ : 120 هـ
227,أبو بكر بن عبيد الله بن أنس بن مالك,مجهول الحال,[],70.0,135.0,,
228,أبو بكر بن عبيد الله بن عبد الله بن عمر بن الخطاب,ثقة,[],65.0,130.0,,بعد 130 هـ
229,أبو بكر بن عبيد الله بن أبي مليكة,مقبول,[],40.5,105.5,,101 هـ : 110 هـ
230,أبو بكر بن عثمان بن سهل بن حنيف,مقبول,[],80.5,145.5,,141 هـ : 150 هـ
231,أبو بكر بن علي بن عطاء بن مقدم,مقبول,[],102.0,167.0,,167 هـ
232,أبو بكر بن عمارة بن رويبة,مقبول,[],40.5,105.5,,101 هـ : 110 هـ
233,أبو بكر بن عمر بن عبد الرحمن بن عبد الله بن عمر بن الخطاب,ثقة,[],60.5,125.5,,121 هـ : 130 هـ
234,"أبو بكر بن عياش بن سالم , قيل اسمه : محمد , وقيل : عبد الله , وقيل : سالم , وقيل : شعبة , وقيل : رؤبة , وقيل : مسلم , وقيل : خداش , وقيل : مطرف , وقيل : حماد , وقيل : حبيب , والصحيح أن اسمه كنيته",ثقة عابد ، إلا أنه لما كبر ساء حفظه ، وكتابه صحيح,['الكوفة'],97.0,193.0,"95 هـ , أو :  96 هـ , ويقال : 100 هـ","192 هـ , أو : 193 هـ , أو : 194 هـ"
235,أبو بكر بن محمد بن زيد بن عبد الله بن عمر بن الخطاب,ثقة,[],82.5,147.5,,145 هـ ، وقيل : 150 هـ
236,أبو بكر بن محمد بن عمرو بن حزم بن زيد بن لوذان,ثقة عابد,['المدينة'],49.599999999999994,114.6,,100 هـ ، أو 110 هـ ، أو 117 هـ ، أو 120 هـ ، وقيل : 126 هـ
237,أبو بكر بن المنكدر بن عبد الله بن الهدير,ثقة,[],50.5,115.5,,111 هـ : 120 هـ
238,أبو بكر بن النضر بن أبي النضر : هاشم بن القاسم ، وأكثر ما ينسب إلى جده ، وقيل : اسمه محمد ، وقيل : أحمد,ثقة,[],180.0,245.0,,245 هـ
239,أبو بكر بن النضر بن أنس بن مالك,مستور,[],70.0,135.0,,
240,أبو بكر بن يحيى بن النضر,مستور,[],96.0,161.0,,
241,أبو ثمامة,مجهول الحال,[],39.23809523809524,104.23809523809524,,
242,أبو جبير,مقبول,[],39.23809523809524,104.23809523809524,,
243,أبو جبيرة بن الضحاك,صحابي ، وقيل : لا صحبة له,[],-65.0,0.0,,
244,أبو جعفر,مقبول,[],39.23809523809524,104.23809523809524,,
