rawi_index,name,grade
70,إبراهيم بن عبد الله بن قارظ ، ويقال : عبد الله بن إبراهيم بن قارظ,صدوق
72,إبراهيم بن عبد الله بن حنين,ثقة
73,إبراهيم بن عبد الله بن حاتم,صدوق حافظ ، تكلم فيه بسبب القرآن
74,إبراهيم بن عبد الله بن معبد بن عباس بن عبد المطلب بن هاشم,صدوق
75,إبراهيم بن عبد الله بن المنذر,مستور
76,إبراهيم بن عبد الله بن الحارث بن حاطب بن الحارث بن معمر بن حبيب بن وهب بن حذافة بن جمح,صدوق ، روى مراسيل
78,إبراهيم بن عبد الله بن محمد بن إبراهيم بن عثمان بن خواستي,صدوق
79,إبراهيم بن عبد الملك,صدوق في حفظه شيء
80,إبراهيم بن عبيد بن رفاعة بن رافع بن مالك بن العجلان,صدوق
81,إبراهيم بن عثمان بن خواستي,متروك الحديث
82,إبراهيم بن عطاء بن أبي ميمونة,صدوق
83,إبراهيم بن عقبة بن أبي عياش,ثقة
84,إبراهيم بن عقيل بن معقل بن منبه بن كامل بن سيج,صدوق
85,إبراهيم بن العلاء,ثقة
86,إبراهيم بن العلاء بن الضحاك بن المهاجر بن عبد الرحمن بن زيد,مستقيم الحديث إلا في حديث واحد ، يقال : إن ابنه محمدا أدخله عليه
87,إبراهيم بن علي بن حسن بن علي بن أبي رافع,ضعيف
88,إبراهيم بن عمر,مستور
89,إبراهيم بن عمر بن سفينة,مستور
90,إبراهيم بن عمر بن كيسان,صدوق
91,إبراهيم بن أبي الوزير : عمر بن مطرف,صدوق
92,إبراهيم بن عيينة بن أبي عمران,صدوق يهم
93,إبراهيم بن الفضل بن سلمان,متروك
94,إبراهيم بن محمد,صدوق يخطئ
95,إبراهيم بن محمد بن أبي يحيى: سمعان ، وقد ينسب إلى جده ، ومنهم من قال فيه : إبراهيم بن محمد بن أبي عطاء,متروك
96,إبراهيم بن محمد بن الحارث بن أسماء بن خارجة بن حصن بن حذيفة بن بدر بن عمرو بن جؤية بن لوذان بن ثعلبة بن عدي بن فزارة بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس عيلان بن مضر بن نزار بن معد بن عدنان,ثقة حافظ ، له تصانيف
97,إبراهيم بن محمد بن حاطب,صدوق
98,إبراهيم بن أبي معاوية : محمد بن خازم,صدوق
99,إبراهيم بن محمد بن سعد بن أبي وقاص,ثقة
100,إبراهيم بن محمد بن طلحة بن عبيد الله,ثقة
101,إبراهيم بن محمد بن عرعرة بن البرند بن النعمان بن علجة بن الأقفع بن كزمان بن الحارث بن حارثة بن مالك بن سعد بن عبيدة بن الحارث بن سامة بن لؤي بن غالب,ثقة حافظ
102,إبراهيم بن محمد بن عبد الله بن جحش بن رئاب,صدوق
103,إبراهيم بن محمد بن عبد الله بن عبيد الله بن عبيد الله بن معمر,ثقة
104,إبراهيم بن محمد بن علي بن أبي طالب,صدوق
105,"إبراهيم بن محمد بن العباس بن عثمان بن شافع بن السائب بن عبيد بن عبد يزيد بن هاشم بن المطلب
 ، وقال ابن خلفون : إبراهيم بن عبد الله بن محمد بن العباس",صدوق
106,إبراهيم بن محمد بن المنتشر بن الأجدع,ثقة
107,إبراهيم بن محمد بن يوسف بن سرج,صدوق ،  تكلم فيه
108,إبراهيم بن المختار,صدوق ، ضعيف الحفظ
109,إبراهيم بن مخلد,صدوق
110,إبراهيم بن مرة,صدوق
112,إبراهيم بن مروان بن محمد بن حسان,صدوق
113,إبراهيم بن المستمر,صدوق يغرب
114,إبراهيم بن مسلم,لين الحديث ، رفع موقوفات
115,إبراهيم بن المنذر بن عبد الله بن المنذر بن المغيرة بن عبد الله بن خالد بن حزام بن خويلد بن أسد بن عبد العزى بن قصي بن كلاب,صدوق
116,إبراهيم بن مهاجر بن جابر,صدوق، لين الحفظ
117,إبراهيم بن مهدي,مقبول
118,إبراهيم بن موسى بن يزيد بن زاذان,ثقة حافظ
119,إبراهيم بن ميسرة,ثبت حافظ
120,إبراهيم بن ميمون,ثقة
121,إبراهيم بن ميمون,صدوق
122,إبراهيم بن نافع,ثقة حافظ
123,إبراهيم بن نشيط بن يوسف,ثقة
124,إبراهيم بن هارون,صدوق
125,إبراهيم بن يحيى بن محمد بن عباد بن هاني,لين الحديث
126,إبراهيم بن يزيد,متروك الحديث
127,إبراهيم بن يزيد بن شريك,ثقة إلا أنه يرسل ويدلس
128,إبراهيم بن يزيد بن قيس بن الأسود بن عمرو بن ربيعة بن ذهل بن ربيعة بن ذهل بن سعد بن مالك بن النخع,ثقة إلا أنه يرسل كثيرا
129,إبراهيم بن يزيد بن مردانبه,صدوق
130,إبراهيم بن يعقوب بن إسحاق,ثقة حافظ ، رمي بالنصب
131,إبراهيم بن يوسف بن إسحاق بن أبي إسحاق,صدوق يهم
133,إبراهيم بن يونس بن محمد,صدوق
134,ابن أبي المعلى,ولا يعرف
135,ابن أبي خزامة ، و قيل : أبو خزامة ، و هو الصحيح,مجهول
137,ابن أبي كبشة,مقبول
138,ابن أخي الحارث الأعور,مجهول
139,ابن أخي زينب الثقفية ، ويقال : ابن أخت زينب,كأنه صحابي ، ولم أره مسمى
141,ابن أخي عبد الله بن سلام,مجهول
143,ابن العلاء بن الحضرمي ، يقال : اسمه عبد الله,مقبول
144,ابن الفراسي,
145,ابن أم الحكم أو ضباعة ابنتي الزبير,لا يعرف
146,ابن حجير,مستور
147,ابن حدير,مستور
148,ابن حرشف,مجهول
149,ابن حيان ، ويقال : اسمه حيان بن غالب,لا يعرف
150,ابن عابس,
151,ابن عبد الله بن بسر,لا يعرف
152,ابن عمر بن أبي سلمة ، قيل : اسمه محمد,مقبول
153,ابن وهب بن منبه,مجهول
154,ابنة الحارث بن عامر بن نوفل,صحابية
155,ابنة زيد بن ثابت,فقيهة
156,ابنة محيصة بن مسعود,لا تعرف
157,أبو إبراهيم,مقبول
158,أبو أحمد بن علي,مجهول
159,أبو إدريس,مقبول
160,أبو إدريس,مقبول
161,أبو أرطاة,مقبول
162,أبو إسحاق,مقبول
163,أبو أسماء,مجهول
164,أبو أفلح,مقبول
165,أبو الأبيض ، يقال اسمه عيسى ووهمه ابن حجر,ثقة
166,أبو الأحوص,مقبول
167,أبو الأزهر,مقبول
169,يزيد بن عطارد,مقبول
170,أبو الجارية,مجهول
171,أبو الجراح,مجهول
172,أبو الحسن,مجهول
173,أبو الحسن,مجهول
174,أبو الحسن,مقبول
175,أبو الحسن,مجهول
176,أبو الحسن,مقبول
177,أبو الحكم,مقبول
179,أبو الخطاب,مجهول
180,أبو الخطاب,مجهول
181,أبو الربيع,مقبول
182,رداد ، ويقال : أبو الرداد ، وهو الأشهر,مقبول
183,أبو السنابل بن بعكك بن الحارث بن عميلة بن السباق بن عبد الدار بن قصي ، قيل : اسمه عمرو ، وقيل : لبيد ربه ، وقيل : حبة ، وقيل : حنة ، وقيل : أصرم,صحابي مشهور
185,أبو الشمال بن ضباب,مجهول
186,أبو الشموس,صحابي
187,أبو الصلت ، عن أبي هريرة,مجهول
188,أبو الصلت : قيل إنه : شهاب بن خراش,
189,أبو الصهباء,مقبول
190,"أبو العجلان , وقيل : أبو المخارق",مقبول
191,تبيع بن سليمان,مجهول
192,أبو الغوث بن الحصين,صحابي
193,"أبو الفضل ، وقيل : أبو الفضيل , أو ابن الفضل",مجهول
194,أبو الفضل بن خلف ، وقيل : أبو الفضيل ، وقيل : أبو المفضل ، وقيل : ابن المفضل,مجهول
195,أبو القاسم بن أبي الزناد,ليس به بأس
196,أبو المبارك,مجهول
197,أبو المثنى,مقبول
198,مغراء,مقبول
199,أبو المعتمر بن عمرو بن رافع,مجهول الحال
200,أبو المعلى بن لوذان ، قيل : اسمه زيد بن المعلى ، وقيل : لا يوقف له على اسم  عند الأكثرين,صحابي
201,أبو المغيرة,مجهول
202,أبو المنذر,مقبول
203,أبو المنيب,ثقة
204,أبو النعمان,مجهول
205,أبو الهيثم بن نصر بن دهر,مقبول
206,أبو الورد بن ثمامة بن حزن,مقبول
207,أبو الوليد,مجهول
208,"أبو أمامة  , ويقال :  أبو أمية",مقبول
210,أبو أمية,صحابي
211,أبو أيوب,مجهول
212,أبو بسرة,مقبول
213,أبو بشر,مقبول
214,أبو بشر,مجهول
215,أبو بكر,قال ابن عدى : مجهول
216,أبو بكر,ضعيف
218,أبو بكر بن أبي زهير : معاذ بن أبى رباح,مقبول
219,أبو بكر بن أبي موسى ، يقال : اسمه عمرو ، أو عامر,ثقة
220,أبو بكر بن إسحاق بن يسار,مقبول
221,أبو بكر بن أنس بن مالك,ثقة
222,أبو بكر بن سالم بن عبد الله بن عمر بن الخطاب,ثقة
223,أبو بكر بن سليمان بن أبي حثمة : عبد الله بن حذيفة ، وقيل : عدي بن كعب بن حذيفة بن تمام بن غانم بن عبد الله بن عويج بن عدي بن كعب ابن لؤي بن غالب,ثقة ، عارف بالنسب
224,أبو بكر بن عبد الرحمن بن الحارث بن هشام بن المغيرة بن عبد الله بن عمر بن مخزوم ، قيل اسمه : محمد ، وقيل : أبو بكر,ثقة فقيه عابد
225,أبو بكر بن عبد الله بن الزبير بن العوام,مستور
226,"أبو بكر بن عبد الله بن أبي الجهم : صخير  ، ويقال : عبيد بن حذيفة بن غانم بن عبد الله بن عبيد بن عويج  بن عدي بن كعب بن لؤي بن غالب , وقد ينسب إلى جده",ثقة فقيه
227,أبو بكر بن عبيد الله بن أنس بن مالك,مجهول الحال
228,أبو بكر بن عبيد الله بن عبد الله بن عمر بن الخطاب,ثقة
229,أبو بكر بن عبيد الله بن أبي مليكة,مقبول
230,أبو بكر بن عثمان بن سهل بن حنيف,مقبول
231,أبو بكر بن علي بن عطاء بن مقدم,مقبول
232,أبو بكر بن عمارة بن رويبة,مقبول
233,أبو بكر بن عمر بن عبد الرحمن بن عبد الله بن عمر بن الخطاب,ثقة
234,"أبو بكر بن عياش بن سالم , قيل اسمه : محمد , وقيل : عبد الله , وقيل : سالم , وقيل : شعبة , وقيل : رؤبة , وقيل : مسلم , وقيل : خداش , وقيل : مطرف , وقيل : حماد , وقيل : حبيب , والصحيح أن اسمه كنيته",ثقة عابد ، إلا أنه لما كبر ساء حفظه ، وكتابه صحيح
235,أبو بكر بن محمد بن زيد بن عبد الله بن عمر بن الخطاب,ثقة
236,أبو بكر بن محمد بن عمرو بن حزم بن زيد بن لوذان,ثقة عابد
237,أبو بكر بن المنكدر بن عبد الله بن الهدير,ثقة
238,أبو بكر بن النضر بن أبي النضر : هاشم بن القاسم ، وأكثر ما ينسب إلى جده ، وقيل : اسمه محمد ، وقيل : أحمد,ثقة
239,أبو بكر بن النضر بن أنس بن مالك,مستور
240,أبو بكر بن يحيى بن النضر,مستور
241,أبو ثمامة,مجهول الحال
242,أبو جبير,مقبول
243,أبو جبيرة بن الضحاك,صحابي ، وقيل : لا صحبة له
244,أبو جعفر,مقبول
245,أبو جعفر بن محمد بن ركانة بن عبد يزيد ، أو أبو جعفر بن محمد بن علي بن ركانة ، ويقال : محمد بن يزيد بن ركانة,مجهول
246,أبو حازم بن صخر بن العيلة ، ويقال : أبو حازم صخر بن العيلة,مستور
247,أبو حبيب بن يعلى بن منية,مجهول
248,أبو حبيبة,مقبول
249,أبو حريز,مجهول
250,أبو حصين بن يحيى بن سليمان ، قيل : اسمه عبد الله,ثقة
251,أبو حفص,مجهول
252,أبو حفص,مجهول
253,أبو حفصة,مقبول
254,أبو حكيم,مجهول
255,أبو حلبس ، وقيل ابن حلبس,مجهول
256,أبو حميد,مجهول
257,أبو حميد ، ويقال : عبد الرحمن بن سعد المقعد,قيل : هو عبد الرحمن بن سعد المقعد وإلا فمجهول
258,أبو حنيفة,مجهول
259,أبو حومل ، ويقال  : أبو حرمل,مجهول
261,أبو حية بن قيس ، قيل : اسمه عمرو بن نصر ، وقيل : عبد الله ، وقيل : عامر بن الحارث,مقبول
262,أبو خالد,يحتمل أن يكون الدالاني وإلا فمجهول
263,أبو خالد,مجهول
264,أبو خراش,مجهول
265,أبو خزامة,صحابي
266,أبو راشد,مقبول
267,أبو زرعة ، قيل : هو ابن عمرو بن جرير,قيل: هو ابن عمرو بن جرير، وإلا فهو .مجهول
268,"أبو زرعة بن عمرو بن جرير بن عبد الله , قيل : اسمه هرم ، وقيل : عمرو ، وقيل : عبد الله ، وقيل : عبد الرحمن ، وقيل : جرير",ثقة
269,أبو زيد ، قيل : عبد الملك بن ميسرة,مجهول
270,أبو زيد ، عن أبي هريرة,مجهول
271,"أبو زيد , وقيل : أبو زايد أو زيد بالشك",مجهول
272,أبو زينب,مجهول
273,أبو سعد,مجهول
274,أبو سعد,مجهول
275,أبو سعد ، ويقال : أبو سعيد,مقبول
276,أبو سعد بن أبي فضالة ، ويقال : أبو سعيد بن فضالة بن أبي فضالة,صحابي
278,أبو سعيد,مجهول
279,أبو سعيد ، عن عبد الملك,مجهول
280,أبو سعيد,مقبول
281,أبو سعيد,مجهول
283,"أبو سعيد بن المعلى , يقال : اسمه رافع بن أوس  بن المعلى ، وقيل : الحارث  بن أوس بن المعلى ، ويقال : الحارث بن نفيع  بن المعلى بن لوذان بن حارثة بن عدي بن زيد بن ثعلبة بن عدي بن مالك بن زيد مناة بن حبيب بن عبد حارثة بن مالك بن غضب بن جشم بن خزرج",صحابي
284,أبو سعيد,مقبول
285,أبو سعيد,مقبول
286,أبو سفيان ، عن عمرو بن حريش,مقبول
287,أبو سفيان بن سعيد بن المغيرة بن الأخنس بن شريق,مقبول
288,أبو سفيان ، قيل : وهب ، وقيل : قزمان,ثقة
289,أبو سلمة,مجهول
290,أبو سلمة,مجهول
291,أبو سلمة بن نبيه,مجهول
292,أبو سهلة,ثقة
293,أبو سورة,ضعيف
294,أبو سيارة ، قيل : اسمه عميرة بن الأعلم ، وقيل : عمير بن الأعلم ، وقيل : اسمه عميرة بن الأعزل ، وقيل : اسمه عمرو ، وقيل : عمر ، وقيل : اسمه الحارث بن مسلم ، وقيل : عامر بن هلال,صحابي
295,أبو شريح ، عن أبي مسلم,مقبول
296,أبو شعبة,مقبول
297,أبو شمر,مقبول
298,أبو شيبة ، عن عبد الله بن عكيم,يحتمل أن يكون أحد هؤلاء ، وإلا فمجهول
299,أبو صالح,لين الحديث
300,أبو صالح,مقبول
301,أبو طارق,مجهول
302,أبو طالوت,مجهول
303,أبو طعمة ، قيل : هلال,قيل هو هلال والا فهو مجهول
304,أبو طلحة,مقبول
305,أبو ظبية ، ويقال : أبو طيبة,مقبول
307,أبو عائشة,مقبول
308,أبو عاصم,مقبول
311,أبو عبد الله,مجهول
312,أبو عبد الله ، ويقال : أبو عبيد الله,
313,أبو عبد الله ، قيل :  نافع بن أبي نافع ، ويقال : أبو صالح,ثقة
314,أبو عبد الله,ثقة
316,أبو عبد الله,مجهول
317,أبو عبد الله,مجهول
318,أبو عبد الله,مجهول
319,أبو عبيدة بن حذيفة بن اليمان,مقبول
320,أبو عبيدة بن عبد الله بن زمعة بن الأسود بن المطلب بن أسد بن عبد العزى بن قصي,مقبول
321,أبو عبيدة بن محمد بن عمار بن ياسر ، اسمه : سلمة,مقبول
324,أبو عثمان بن سنة,مقبول
325,أبو عذرة ، عن عائشة,مجهول
327,أبو عطية,مقبول
328,أبو عكاشة,مجهول
329,أبو علقمة,ثقة
330,أبو علي بن يزيد بن أبي النجاد,مجهول
331,أبو عمر ، وقيل : أبو عمرو,ضعيف
332,أبو عمر ، وقيل : أبو عمرو,مقبول
333,أبو عمرة,مقبول
334,أبو عمرو بن حفص بن المغيرة بن عبد الله بن عمر بن مخزوم ، قيل : اسمه عبد الحميد ، وقيل : أحمد ، ويقال فيه : أبو حفص بن عمرو بن المغيرة ، ويقال :  أبو حفص بن المغيرة,
335,أبو عمرو بن حماس بن عمرو,مقبول
336,أبو عمرو بن العلاء بن عمار بن العريان :  عمرو  بن عبد الله بن الحصين بن الحارث بن جلهم ، ويقال: جلهمة بن خزاعى ، ويقال : جلهم بن حجر خزاعى بن مالك بن مازن بن عمرو  بن تميم بن مر  ، اختلف فى اسمه  ، فقيل :  زبان ، وقيل :  العريان ، وقيل :  يحيى ، وقيل :  جزء ، وقيل : اسمه كنيته,ثقة ، من علماء العربية
337,"أبو عمرو بن محمد بن حريث , وقيل : أبو محمد بن عمرو بن حريث , وقيل : أبو عمرو بن محمد بن عمرو بن حريث",مجهول
338,أبو عياش,مقبول
339,أبو عياض ، وقيل : اسمه قيس بن ثعلبة,مجهول
340,أبو عيسى,مقبول
341,أبو فاطمة أنيس ، وقيل : عبد الله بن أنيس,
342,أبو قابوس,مقبول
343,أبو قرة,مجهول
344,أبو كباش ، وقيل : أبو عياش,مجهول
345,أبو كبشة,ثقة
346,أبو كبشة,مقبول
347,أبو كثير ، وقيل : أبو كبير ، وقيل : أبو كبيرة,ثقة ، ويقال : له صحبة
348,أبو كثير,مقبول
349,أبو كرب,مجهول
350,أبو كنانة,مجهول
351,"أبو لاس , ويقال : ابن لاس , ويقال : إنه عبد الله بن غنمة , وقيل : زياد",صحابي
352,أبو ليلى : بلال ، ويقال بليل ، ويقال داود بن بلال بن بليل بن أحيحة بن الجلاح بن الخريش بن جحجبى بن كلفة بن عوف بن عمرو بن عوف وقيل : يسار بن نمير ، وقيل : أوس بن خولي,صحابي
354,أبو ليلى بن عبد الله بن عبد الرحمن ابن سهل ، أو عبد الله بن سهل بن عبد الرحمن بن سهل بن أبي حثمة : أو ابن كعب,ثقة
355,أبو مالك : قيل : الحارث بن الحارث ، وقيل : عبيد ، وقيل : عبيد الله ، وقيل : عمرو ، وقيل كعب بن عاصم ، وقيل : كعب بن كعب ، وقيل : عامر بن الحارث بن هانئ بن كلثوم,صحابي
356,"أبو محمد ,  يقال : أفلح",هو أفلح  وإلا فمجهول
357,أبو محمد ، وقيل : محمد بن أبي محمد,مجهول
358,أبو مرزوق ، عن أبي غالب,لين
359,أبو مروان ، قيل : اسمه سعد ، وقيل : مغيث بن عمرو ، وقيل : غير ذلك ، وقال ابن حبان : اسمه عبد الرحمن بن مصعب,له صحبة ، إلا أن الإسناد إليه بذلك واه
360,عبد الرحمن بن ماعز,ثقة
361,أبو مريم,صحابي
363,أبو مزاحم,مجهول
364,أبو مسلم,مقبول
365,أبو مسلم,مقبول
366,أبو مشجعة بن ربعي,مقبول
367,أبو مصبح,ثقة
368,أبو مطر ، عن سالم بن عبد الله,مجهول
369,"أبو معاذ , ويقال :  أبو معان",مجهول
370,أبو معقل ، عن أنس بن مالك,مجهول
371,أبو معن ، عن أنس بن مالك,مجهول
372,أبو منظور,مجهول
373,أبو موسى,مقبول
374,أبو موسى ، عن أبي مريم,مجهول
375,أبو موسى ، وقال المزي : إنه إسرائيل بن موسى ووهمه ابن حجر,مجهول
376,أبو ميمون ، عن رافع بن خديج,مجهول
377,أبو نخيلة,صحابي
378,أبو نصر,مجهول
379,أبو نصر,مجهول
380,أبو هاشم,مجهول الحال
381,"أبو هاشم بن عتبة بن ربيعة بن عبد شمس  بن عبد مناف, قيل : اسمه خالد ، وقيل : شيبة ، وقيل :  هشام ،  وقيل :  هشيم , وقيل : مهشم",صحابي
382,أبو هند,مقبول
383,أبو هند ، قيل : إبراهيم بن ميمون,قيل إبراهيم بن ميمون الصائغ ، وإلا فمجهول
384,أبو وقاص ، عن زيد بن أرقم,مجهول
385,أبو وهب,صحابي
387,"أبو يحيى , قيل : سمعان",مقبول
388,أبو يحيى,مقبول
389,أبو يزيد,مقبول
390,أبو يزيد,مجهول
391,أبو يزيد,يقال : له صحبة
392,أبو يزيد,مجهول
393,أبو يزيد ، قال ابن حجر : سماه الحاكم : يزيد بن مسلم ، فوهم,صدوق
394,أبو يسار,مجهول الحال
395,أبو يونس,ثقة
396,أبي بن العباس بن سهل بن سعد,فيه ضعف
397,أبي بن عمارة ، ويقال : ابن عبادة ، وقال أبو حاتم : هو عندي خطأ ، إنما هو أبو أُبي ، واسمه : عبد الله بن عمرو ابن أم حرام,له صحبة
398,أبي بن كعب بن قيس بن عبيد بن زيد بن معاوية بن عمرو وهو حديلة ، وهو اسم أمه ، ويقال لبني عمرو هذا بنو حديلة وهو ابن مالك بن النجار ، واسمه تيم اللات ، ويقال : تيم الله بن ثعلبة بن عمرو بن الخزرج الأكبر,من فضلاء الصحابة
399,أبيض بن حمال,له صحبة
400,أجلح بن عبد الله بن حجية ، ويقال : أجلح بن عبد الله بن معاوية ، ويقال : اسمه يحيى,صدوق شيعي
401,أحزاب بن أسيد ، ويقال : ابن أسد : السمع بن مالك بن زيد بن سهل بن عمرو بن قيس بن معاوية بن جشم بن عبد شمس,مختلف في صحبته ، والصحيح أنه مخضرم ثقة
402,أحمد بن إبراهيم بن خالد,صدوق
404,أحمد بن إبراهيم بن كثير بن زيد بن أفلح بن منصور بن مزاحم,ثقة حافظ
405,أحمد بن إبراهيم بن محمد بن عبد الله بن بكار بن عبد الملك بن الوليد بن بسر بن أرطاة ، ويقال : ابن أبي أرطاة,صدوق
406,أحمد بن أبي الطيب : سليمان,صدوق حافظ ، له أغلاط
407,أحمد بن أبي بكر : القاسم بن الحارث بن زرارة بن مصعب بن عبد الرحمن بن عوف,صدوق
409,"أحمد بن أبي عبيد الله : بشر , أو : ابن بشر",ثقة
410,أحمد بن الأزهر بن منيع بن سليط بن إبراهيم,"صدوق ، كان يحفظ , ثم كبر فصار كتابه أثبت من حفظه"
411,أحمد بن إسحاق بن الحصين بن جابر بن جندل,صدوق
412,أحمد بن إسحاق بن زيد بن عبد الله بن أبي إسحاق,ثقة ، كان يحفظ
413,أحمد بن إسحاق بن عيسى,صدوق
414,أحمد بن إسماعيل بن محمد بن نبيه,سماعه للموطأ صحيح ، وخلط في غيره
415,أحمد بن إشكاب ، وقيل : أحمد بن معمر بن إشكاب ، وقيل : أحمد بن عبيد الله بن إشكاب ، ويقال : اسم إشكاب مجمع,ثقة حافظ
416,أحمد بن بديل بن قريش بن بديل بن الحارث,صدوق له أوهام
417,أحمد بن بشير,صدوق له أوهام
418,أحمد بن بكار بن أبي ميمونة : زيد,صدوق ، كان له حفظ
419,أحمد بن ثابت,صدوق
420,أحمد بن جعفر,مقبول
421,أحمد بن جناب بن المغيرة,صدوق
422,أحمد بن جواس,ثقة
423,أحمد بن الحجاج,ثقة
424,أحمد بن حرب بن محمد بن علي بن حيان بن مازن بن الغضوبة,صدوق
425,أحمد بن الحسن بن جنيدب,ثقة حافظ
426,أحمد بن الحسن بن خراش,صدوق
427,أحمد بن حفص بن عبد الله بن راشد,صدوق
429,أحمد بن حميد,ثقة حافظ
430,أحمد بن خالد,ثقة
431,"أحمد بن خالد بن موسى , ويقال : ابن محمد",صدوق
433,أحمد بن سعد بن الحكم بن محمد بن سالم,صدوق
434,أحمد بن سعيد بن إبراهيم,ثقة حافظ
435,أحمد بن سعيد بن بشر بن عبيد الله,صدوق
