rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
34,إبراهيم بن بشار,,,أبو إسحاق,الجرجرائى الأصل ، البصرى ، الرمادى,,,,بعد موت سفيان بن سعيد الثورى,230هـ ، أو قبلها أو بعدها بقليل ، وقيل : 224 هـ ، وقيل : 227 هـ ، وقيل : 228 هـ,,,,,العاشرة,حافظ له أوهام,مكثر مغرب
35,إبراهيم بن جرير بن عبد الله,,,,البجلي ، الكوفى,,ابن أخيه أبو زرعة بن عمرو بن جرير,,,121 هـ : 130 هـ,,,,,الثالثة,صدوق,
36,إبراهيم بن الحارث بن إسماعيل,,,أبو إسحاق,البغدادي ، المروزى,نيسابور ، بغداد,,,,265 هـ,الموصل,نيسابور,,,الحادية عشرة,صدوق,
37,إبراهيم بن حبيب بن الشهيد,,,أبو إسحاق ، وقيل : أبو زيد,الأزدي مولاهم ، البصري,,والد إسحاق بن إبراهيم الشهيدي ، مولى الأزد,,,203 هـ,,,,,التاسعة,ثقة,وثق
38,إبراهيم بن الحجاج بن زيد,,,أبو إسحاق,السامي ، الناجي ، البصري,,من ولد سامة بن لؤي  بن غالب,,,231 هـ ، أو 232 هـ ، أو 233 هـ,,البصرة,,,العاشرة,ثقة يهم قليلا,وثقه ابن حبان
39,إبراهيم بن الحسن بن الهيثم,المقسمي,,أبو إسحاق,"الخثعمي ، المصيصي ، المقسمي ، الجشمى ، 
البصرى",المصيصة,,,,229 هـ,,,,,الحادية عشرة,ثقة,ثقة ثبت
40,إبراهيم بن حمزة بن سليمان بن أبي يحيى,,,أبو إسحاق,الرملي ، البزاز,الرملة,,,,,,,,,العاشرة,صدوق,ثقة
41,إبراهيم بن حمزة بن محمد بن حمزة بن مصعب بن عبد الله بن الزبير بن العوام,,,أبو إسحاق,الزبيري ، المدني ، القرشي ، الأسدي,الربذة ، المدينة,ابنه مصعب,,,230 هـ,,المدينة,,,العاشرة,صدوق,قال أبو حاتم : صدوق
42,إبراهيم بن حميد بن عبد الرحمن بن مخلد بن عفيف بن رواس بن كلاب,,,أبو إسحاق ، وقيل : أبو عوف,الرؤاسي ، الكوفي,,أخو عبد الرحمن بن حميد ، عم حميد بن عبد الرحمن بن حميد,,,178 هـ ، وقيل : 189 هـ,,,,,الثامنة,ثقة,
44,إبراهيم بن خالد بن أبي اليمان,أبو ثور,أبو ثور,أبو ثور ، ويقال : أبو عبد الله,الكلبي ، البغدادي,بغداد,صاحب الشافعي,كان أولا يتفقه بالرأي ، ويذهب إلى قول أهل العراق ، ورجع عن الرأي إلى الحديث,,240 هـ,,بغداد,,,العاشرة,ثقة,"أحد المجتهدين ,  ثقة مأمون"
45,إبراهيم بن خالد بن عبيد,,,أبو محمد,القرشي ، الصنعاني ، المؤذن,صنعاء,,,,200 هـ,,,,,التاسعة,ثقة,
46,إبراهيم بن دينار,,,أبو إسحاق,البغدادي ، التمار,,صديق أبي مسلم المستملي,,,232 هـ,,,,,العاشرة,ثقة,ثقة ثبت
47,إبراهيم بن زياد,سبلان,سبلان,أبو إسحاق,البغدادي,بغداد,,,,228 هـ ، أو 232 هـ ، وقيل : 220 هـ,,بغداد,,,العاشرة,ثقة,
48,إبراهيم بن سالم بن أبي أمية,بردان بن أبي النضر,بردان,أبو إسحاق,القرشي ، التيمي ، المدني,,مولى عمر بن عبيد الله بن معمر التيمي,,,153 هـ ، أو 154 هـ,,,,,السادسة,صدوق,وثق
49,إبراهيم بن سعد بن أبي وقاص,,,,الزهري ، المدني ، القرشي,,خال سعد بن إبراهيم بن عبد الرحمن بن عوف,,,بعد 100 هـ,,,,,الثالثة,ثقة,
50,إبراهيم بن سعد بن إبراهيم بن عبد الرحمن بن عوف,,,أبو إسحاق,الزهري ، المدني ، القرشي ، القاضى ، العوفي,بغداد,أمه أمة الرحمن بنت محمد بن عبد الله بن زمعة بن قيس بن عبد شمس ، ابناه يعقوب وسعد ، ابن عمه سالم بن صالح بن إبراهيم بن عبد الرحمن بن عوف,,108 هـ ، أو 110 هـ,182 هـ ، أو 183 هـ ، أو 184 هـ ، أو 185 هـ,,بغداد,"الكوفة , البصرة",,الثامنة,ثقة حجة ، تُكُلِّم فيه بلا قادح,كان من كبار العلماء
51,إبراهيم بن سعيد,,الحافظ,أبو إسحاق,الجوهري ، الطبري الأصل ، البغدادي ، الحافظ,بغداد ، عين زربة,,,,247 هـ ، أو 249 هـ ، أو في حدود 250 هـ ، أو 253 هـ ، أو 255 هـ ، أو 256 هـ ، ويقال : 244 هـ,,عين زربة,,,العاشرة,ثقة حافظ ، تُكُلِّم فيه بلا حجة,الحافظ
52,إبراهيم بن سعيد,,,أبو إسحاق,المدني,,,,,,,,,,السابعة,مجهول الحال,
53,إبراهيم بن سليمان,,الأفطس,,الأفطس ، الدمشقي ، الشامى,,,,,141 هـ : 150 هـ,,,,,الثامنة,ثقة ثبت إلا أنه يرسل,قال دحيم : ثبت
54,إبراهيم بن سليمان بن رزين ، وقيل : إبراهيم بن إسماعيل بن رزين,أبو إسماعيل,,أبو إسماعيل,المؤدب ، الشامي ، الأردني الأصل ، البغدادى,بغداد,مؤدب أبي عبيد الله الأشعري وزير المهدي ، ابنه إسماعيل,,,,,,,,التاسعة,صدوق يغرب,وثقه : ابن معين
55,إبراهيم بن سويد,الصيرفي,الأعور,,النخعي ، الكوفي ، الأعور ، الصيرفى,,,,,91 هـ : 100 هـ,,,,,السادسة,ثقة ، لم يثبت أن النسائي ضعفه,ثقة
56,إبراهيم بن سويد بن حيان,,,,المدينى ، المصرى,,,,,171 هـ : 180 هـ,,,,,الثامنة,ثقة يغرب,
57,إبراهيم بن صالح بن درهم,,,أبو محمد,الباهلي ، البصري,,,,,,,,,,التاسعة,فيه ضعف,فيه لين
58,إبراهيم بن صدقة,,,أبو عامر,البصري ، الأنصاري,,,,,191 هـ : 200 هـ,,,,,التاسعة,صدوق,شيخ
59,إبراهيم بن طهمان بن شعبة,,,أبو سعيد ، وقيل : أبو عمرو,الخراساني ، الهروي ، الباشاني,نيسابور ، هراة  خراسان ، مكة,ابناه محمد وعبد الخالق,يميل شيئا إلى الإرجاء ، وقال أبو جعفر العقيلي: كان يغلو في الإرجاء,,158 هـ ، أو 160 هـ ، أو 163 هـ ، أو 168 هـ,هراة ، وقيل : بحدود نيسابور من رستاق جراف,مكة,بغداد,,السابعة,ثقة يغرب ، تكلم فيه للإرجاء ، ويقال : رجع عنه,من أئمة الإسلام وفيه إرجاء
60,إبراهيم بن عامر بن مسعود بن أمية بن خلف بن وهب بن حذافة بن جمح,,,,الجمحي ، القرشي ، الكوفي,,,,,120هـ : 130هـ,,,,,السادسة,ثقة,وثق
61,إبراهيم بن عبد الأعلى,,,,الجعفي مولاهم ، الكوفي,,مولى الجعفيين,,,121 هـ : 130 هـ,,,,,السادسة,ثقة,ثقة
62,إبراهيم بن عبد الرحمن بن يزيد بن أمية,,,,المدني,,,,,,,,,,السابعة,مجهول,لا يدرى من ذا
63,إبراهيم بن عبد الرحمن بن إسماعيل,,,أبو إسماعيل,السكسكي ، الكوفي,,مولى صخير,,,111 هـ : 120 هـ,,,,,الخامسة,صدوق، ضعيف الحفظ,ضعفه أحمد
64,إبراهيم بن عبد الرحمن بن مهدي بن حسان بن عبد الرحمن,,,,العنبري ، وقيل : الأزدي مولاهم ، البصري,,أخو موسى ، قيل : الأزدي مولاهم,,,221 هـ : 230 هـ,,,,,العاشرة,صدوق، له مناكير ، قيل : إنها من قبل الراوي عنه,له مناكير
65,إبراهيم بن عبد الرحمن بن عوف,,,أبو إسحاق ، وقيل : أبو محمد ، وقيل : أبو عبد الله,الزهري ، المدني ، القرشي,,أمه أم كلثوم بنت عقبة بن أبي معيط ، ابناه صالح و سعد ، أخوه حميد ، خاله عثمان بن عفان ، تزوج سكينة بنت الحسين بغير ولي,,"يقال : إنه ولد في حياة النبي صلى الله عليه وسلم ، وفي كتاب "" الكلاباذي "" : 21 هـ",95 هـ ، أو 96 هـ ، أو 97 هـ ، أو 105 هـ,,المدينة,,,قيل : له رؤية,قيل : له رؤية,
66,إبراهيم بن عبد الرحمن بن عبد الله بن أبي ربيعة ذي الرمحين : عمرو بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤي بن غالب,,,,المخزومي ، المدني ، القرشي,,أمه أم كلثوم بنت أبي بكر الصديق ، خالته عائشة أم المؤمنين ، ابناه موسى وإسماعيل,,,91 هـ : 100 هـ,,,,,الثالثة,مقبول,
67,إبراهيم بن عبد السلام بن عبد الله بن باباه,,,,المخزومي ، المكي ، القرشي,,,,,182 هـ,,,,,الثامنة,ضعيف,قيل : إنه يسرق الحديث
69,إبراهيم بن عبد العزيز بن عبد الملك بن أبي محذورة,,,أبو إسماعيل,الجمحي ، المكي ، القرشي,,,,,191 هـ : 200 هـ,,,,,السابعة,صدوق يخطئ,
70,إبراهيم بن عبد الله بن قارظ ، ويقال : عبد الله بن إبراهيم بن قارظ,,,,الكناني ، المدني ، القرشي ، الحجازي ، الزهري حليفهم,مصر,حليف بني زهرة ، عم سعيد بن خالد بن عبد الله بن قارظ,,,91 هـ : 100 هـ,,,,,الثالثة,صدوق,
72,إبراهيم بن عبد الله بن حنين,,,أبو إسحاق,الهاشمي مولاهم ، المدني,,مولى العباس بن عبد المطلب,,,100هـ وبضع,,,,,الثالثة,ثقة,وثقه النسائي ، ولم يلق عليا رضي الله عنه
73,إبراهيم بن عبد الله بن حاتم,الهروي,الحافظ,أبو إسحاق,الهروي ، ثم البغدادي ، الحافظ,بغداد,,تكلم فيه بسبب القرآن,178 هـ ، أو 148 هـ,244 هـ,,سر من رأى,,,العاشرة,صدوق حافظ ، تكلم فيه بسبب القرآن,قال النسائي وغيره : ليس بالقوي ، ووثقه طائفة
74,إبراهيم بن عبد الله بن معبد بن عباس بن عبد المطلب بن هاشم,,,,الهاشمي ، المدني ، القرشي,,أخوه عباس,,,101 هـ : 109هـ,,,,,الثالثة,صدوق,
75,إبراهيم بن عبد الله بن المنذر,,,,الصنعاني ، الباهلي,,,,,241 هـ : 250 هـ,,,,,الحادية عشرة,مستور,
76,إبراهيم بن عبد الله بن الحارث بن حاطب بن الحارث بن معمر بن حبيب بن وهب بن حذافة بن جمح,,,,الجمحي ، القرشي ، المدني,,,,,161 هـ : 170 هـ,,,,,السابعة,صدوق ، روى مراسيل,
78,إبراهيم بن عبد الله بن محمد بن إبراهيم بن عثمان بن خواستي,,,أبو شيبة,العبسي مولاهم ، الكوفي,,العبسي مولاهم,,,265 هـ,,,,,الحادية عشرة,صدوق,ثقة
79,إبراهيم بن عبد الملك,,القناد,أبو إسماعيل,البصري ، القناد ، الشيبانى,,,,,171 هـ : 180 هـ,,,,,السابعة,صدوق في حفظه شيء,قال النسائي : لا بأس به
80,إبراهيم بن عبيد بن رفاعة بن رافع بن مالك بن العجلان,,,,الزرقي ، الأنصاري ، المدني,,أمه سميكة بنت كعب بن مالك ، أخوه إسماعيل ، أولاده : محمد ورفاعة وإسحاق,,قيل : إنه ولد في عهد النبي صلى الله عليه وسلم,111 هـ : 120 هـ,,,,,الرابعة,صدوق,
81,إبراهيم بن عثمان بن خواستي,أبو شيبة,,أبو شيبة ، أبو سعدة,العبسي مولاهم ، الكوفي ، القاضى,واسط,العبسي مولاهم ، خاله الحكم بن عتيبة ، وعند ابن عدي : وكان الحكم زوج أمه. أحفاده : أبو بكر وعثمان والقاسم بنو محمد بن أبي شيبة,,,169 هـ,,,,,السابعة,متروك الحديث,ترك حديثه
82,إبراهيم بن عطاء بن أبي ميمونة,,,,البصري,,مولى أنس بن مالك ، ويقال : مولى عمران بن الحصين ، أخو روح بن عطاء بن أبي ميمونة,,,161 هـ : 170 هـ,,,,,السابعة,صدوق,قال ابن معين : صالح
83,إبراهيم بن عقبة بن أبي عياش,,,,الأسدي مولاهم ، الزبيري مولاهم ، المدني ، المطرقى,,مولى آل الزبير بن العوام ، ابنه إسماعيل ، أخواه محمد وموسى ، جده لأمه أبو حبيبة,,,141 هـ : 150 هـ,,,,,السادسة,ثقة,
84,إبراهيم بن عقيل بن معقل بن منبه بن كامل بن سيج,,,,الصنعاني ، اليماني,,ابن عمه أبو هاشم إسماعيل بن عبد الكريم ابن معقل ، عم أبيه وهب بن منبه,,,,,,,,الثامنة,صدوق,وثق
85,إبراهيم بن العلاء,,,أبو هارون,الغنوي ، البصرى,,,,,141 هـ : 150 هـ,,,,,السادسة,ثقة,
86,إبراهيم بن العلاء بن الضحاك بن المهاجر بن عبد الرحمن بن زيد,زِبريق,زبريق,أبو إسحاق,الزبيدي ، الحمصي,,ابنه إسحاق ، عمه الحارث بن الضحاك الزبيدي,,152 هـ,235 هـ,,,,,العاشرة,مستقيم الحديث إلا في حديث واحد ، يقال : إن ابنه محمدا أدخله عليه,شيخ صدوق
87,إبراهيم بن علي بن حسن بن علي بن أبي رافع,,,,المدني ، الرافعي,بغداد,عمه أيوب بن حسن ، ابن أخيه أحمد بن محمد,,,201 هـ : 210 هـ,,بغداد,,,التاسعة,ضعيف,ضعفه الدارقطني
88,إبراهيم بن عمر,,,أبو إسحاق,الصنعاني ، اليماني,,,,,,,,,,العاشرة,مستور,
89,إبراهيم بن عمر بن سفينة,,بريه,أبو عبد الله,المدني ، الهاشمي,,جده سفينة  مولى رسول الله صلى الله عليه وسلم,,,,,,,,السابعة,مستور,لين
90,إبراهيم بن عمر بن كيسان,,,أبو إسحاق,اليماني ، الصنعاني,,ابنه عبد الله ، إخوته : محمد ، حفص ، وهب,,,,,,,,السابعة,صدوق,ثقة
91,إبراهيم بن أبي الوزير : عمر بن مطرف,,,أبو عمرو ، ويقال : أبو إسحاق,الهاشمي مولاهم ، المكي ، الطائفي ، البصرى,البصرة ، الطائف ، مكة,مولى بني هاشم ، خال عبد الرحمن بن مهدي ، أخواه : أبو المطرف ومحمد,,,212 هـ ، أو 213 هـ ، أو بعدها ، أو 233 هـ,,البصرة,,,التاسعة,صدوق,
92,إبراهيم بن عيينة بن أبي عمران,,,أبو إسحاق,الهلالي مولاهم ، الكوفي,,مولى بني هلال من قيس عيلان ، إخوته سفيان ، وآدم ، وعمران ، ومحمد,,نحو 120 هـ,197 هـ ، أو 199 هـ,,,,,الثامنة,صدوق يهم,قال النسائي : ليس بالقوي
93,إبراهيم بن الفضل بن سلمان,,,أبو إسحاق,المخزومي ، المدني,,,,,161هـ : 170هـ,,,,,الثامنة,متروك,ضعفوه
94,إبراهيم بن محمد,,,أبو إسحاق,الزهري ، الحلبي ، ثم البصري,البصرة,,,,251 هـ : 260 هـ,,,,,الحادية عشرة,صدوق يخطئ,صدوق
95,إبراهيم بن محمد بن أبي يحيى: سمعان ، وقد ينسب إلى جده ، ومنهم من قال فيه : إبراهيم بن محمد بن أبي عطاء,,,أبو إسحاق ، وقيل : أبو الزينب,الأسلمي مولاهم ، المدني,,مولى الأسلميين ، أخوه عبد الله سحبل,"كان قدريا , معتزليا , جهميا , رافضيا
, يشتم بعض السلف",,184هـ ، أو 191هـ ، وقيل : 194 هـ,,,,,السابعة,متروك,قال البخاري : جهمي تركه ابن المبارك والناس ، وقال أحمد : قدري معتزلي جهمي كل بلاء فيه ، وقال يحيى القطان : كذاب
96,إبراهيم بن محمد بن الحارث بن أسماء بن خارجة بن حصن بن حذيفة بن بدر بن عمرو بن جؤية بن لوذان بن ثعلبة بن عدي بن فزارة بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس عيلان بن مضر بن نزار بن معد بن عدنان,,,أبو إسحاق,الفزاري ، الكوفي ، المصيصي ، الشامى,الشام ، المصيصة,ابن عم مروان بن معاوية الفزاري,,,183 هـ ، أو 184 هـ ، أو 185 هـ ، أو 186 هـ ، أو 187 هـ ، أو 188 هـ,واسط,المصيصة,,,الثامنة,ثقة حافظ ، له تصانيف,قال أبو حاتم : ثقة مأمون إمام
97,إبراهيم بن محمد بن حاطب,,,,القرشي ، الجمحي ، المدني ، الكوفي,,والد عبد الرحمن ، وقدامة,,,,,,,,الخامسة,صدوق,
98,إبراهيم بن أبي معاوية : محمد بن خازم,,,أبو إسحاق,السعدي مولاهم ، الكوفي ، الضرير,,مولى بني سعد,,,236 هـ ، أو 237 هـ,,الكوفة,,,العاشرة,صدوق,ثقة
99,إبراهيم بن محمد بن سعد بن أبي وقاص,,,,القرشي ، الزهري ، المدني ، الكوفي,,,,,,,,,,السادسة,ثقة,ثقة
100,إبراهيم بن محمد بن طلحة بن عبيد الله,,,أبو إسحاق,القرشى ، التيمي ، المدني ، وقيل : الكوفي,الكوفة,عريف بني تميم ورأسها ، واستعمله ابن الزبير على خراج الكوفة ، أمه خولة بنت منظور بن زبان ، أخوه لأمه حسن بن حسن بن علي بن أبي طالب ، ابناه : عمران ، ويعقوب ، ابن أخيه لأمه عبد الله بن حسن بن حسن ، عمه عمران بن طلحة ، ابن عمه  طلحة بن يحيى بن طلحة,,36 هـ,110هـ ، أو 116هـ ، أو  120هـ,,المدينة ، وقيل : بمنى,,,الثالثة,ثقة,ثقة صالح
101,إبراهيم بن محمد بن عرعرة بن البرند بن النعمان بن علجة بن الأقفع بن كزمان بن الحارث بن حارثة بن مالك بن سعد بن عبيدة بن الحارث بن سامة بن لؤي بن غالب,,الحافظ,أبو إسحاق,القرشي ، السامي ، البصرى ، الحافظ,بغداد,أخوه عمرو,,بعد 160 هـ أو قبلها,231 هـ ، أو 232 هـ,,بغداد,,,العاشرة,ثقة حافظ,ثقة حافظ يغرب
102,إبراهيم بن محمد بن عبد الله بن جحش بن رئاب,,,,الأسدي ، المدني ، الحجازى,,,,,,,,,,الخامسة,صدوق,
103,إبراهيم بن محمد بن عبد الله بن عبيد الله بن عبيد الله بن معمر,,,أبو إسحاق,التيمي ، المعمري ، البصري ، القرشي ، القاضى,البصرة,من ولد محمد بن إبراهيم بن الحارث التيمي ، وأمه ليلى بنت سلامان بن عامر بن عميرة ابن وديعة بن الحارث بن فهر,,,250 هـ,,البصرة,,,الحادية عشرة,ثقة,ثقة
104,إبراهيم بن محمد بن علي بن أبي طالب,,,,القرشي ، الهاشمي,,"حليف بني هاشم . أمه : مسرعة أو بسرة بنت عباد بن شيبان بن جابر السلمية ، وإخو ته  : عبد الله , والحسن ,  وعمر",,,,,,,,الخامسة,صدوق,
105,"إبراهيم بن محمد بن العباس بن عثمان بن شافع بن السائب بن عبيد بن عبد يزيد بن هاشم بن المطلب
 ، وقال ابن خلفون : إبراهيم بن عبد الله بن محمد بن العباس",,,أبو إسحاق,القرشي ، المكي ، الشافعي ، المطلبي,مكة,ابن عم الإمام الشافعي ، جده لأمه  محمد بن علي بن شافع ، صاحب الفضيل بن عياض,,,237 هـ ، ويقال: 238 هـ,,مكة,,,العاشرة,صدوق,ثقة
106,إبراهيم بن محمد بن المنتشر بن الأجدع,,,,الهمداني ، الكوفي,,ابن ابن أخي مسروق بن الأجدع,,,141 هـ : 150 هـ,,,,,الخامسة,ثقة,ثقة قانت لله ، نبيل
107,إبراهيم بن محمد بن يوسف بن سرج,,,أبو إسحاق,الفريابي ، ثم المقدسي,بيت المقدس,,,,241 هـ : 250 هـ,,,,,العاشرة,صدوق ،  تكلم فيه,صدوق
108,إبراهيم بن المختار,حبويه,حبويه,أبو إسماعيل ، أبو إسحاق ، ويقال : أبو محمد,التميمى ، الرازي ، الخواري,,,,,180 هـ ، أو 182 هـ,,,,,الثامنة,صدوق ، ضعيف الحفظ,ضعف
109,إبراهيم بن مخلد,,,,الطالقاني,,,,,231 هـ : 240 هـ,,,,,العاشرة,صدوق,
